member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_phasedescription,a_phasekey,a_phaseparentkey,a_phasesorting
1130,en2023_act,EN2023_ACT,Engagé 2023,64901,false,Engagé 2023,EN2023_ACT,ActualEngage,EN2023_ACT|2023FY
1132,en2023,EN2023,Engagé-Réalisé 2023,64901,false,Engagé-Réalisé 2023,EN2023,EN2023_ACT,EN2023|UAT1ENG_2023|UAT2ENG_2023
1133,bi2023_ca,BI2023_CA,BI 2023,64901,false,BI 2023,BI2023_CA,Budget,BI2023_CA|2023FY
1134,plt2023,PLT2023,PLT 2023-2032,64901,false,PLT 2023-2032,PLT2023,CorpPlan,PLT202300|2023FY|FcstN-1|2024FY
1135,plt2023_pcm03,PLT2023_PCM03,PC/PLT 2023_M03,64901,false,PC/PLT 2023_M03,PLT2023_PCM03,CorpPlan,PLT202303|2023FY|FcstN+0
1136,plt2023_pcm06,PLT2023_PCM06,PC/PLT 2023_M06,64901,false,PC/PLT 2023_M06,PLT2023_PCM06,CorpPlan,PLT202306|2023FY|FcstN+1
1137,plt2023_pcm09,PLT2023_PCM09,PC/PLT 2023_M09,64901,false,PC/PLT 2023_M09,PLT2023_PCM09,CorpPlan,PLT202309|2023FY|FcstN+2
1138,plt2023_pcm11,PLT2023_PCM11,PC/PLT 2023_M11,64901,false,PC/PLT 2023_M11,PLT2023_PCM11,CorpPlan,PLT202311|2023FY|FcstN+3
1139,pc2023_m03,PC2023_M03,PC2023_M03,64901,false,PC2023_M03,PC2023_M03,Forecast,PC2023_M03|2023FY
1140,pc2023_m06,PC2023_M06,PC2023_M06,64901,false,PC2023_M06,PC2023_M06,Forecast,PC2023_M06|2023FY
1141,pc2023_m09,PC2023_M09,PC2023_M09,64901,false,PC2023_M09,PC2023_M09,Forecast,PC2023_M09|2023FY
1142,pc2023_m11,PC2023_M11,PC2023_M11,64901,false,PC2023_M11,PC2023_M11,Forecast,PC2023_M11|2023FY
1143,en2023_post,EN2023_POST,Engagé >2023,64901,false,Engagé >2023,EN2023_POST,ENG_POST,EN2023_POST|2023FYSR1|UAT1ENP_2023|UAT2ENP_2023
1144,uat1actual_2023,UAT1Actual_2023,Réel 2023 HUB1,64901,false,Réel 2023 HUB1,UAT1Actual_2023,SAP,01.23.1|Actual2023
1129,pc2023_m11_w,PC2023_M11_W,PC2023_M11 Collecte,64901,false,PC2023_M11 Collecte,PC2023_M11_W,BDG,PC2023_M11|2023FY
1417,en2024_act,EN2024_ACT,Engagé 2024,64901,false,Engagé 2024,EN2024_ACT,ActualEngage,EN2024_ACT|2024FY
1145,uat1eng_2023,UAT1ENG_2023,Engagé 2023 HUB1,64901,false,Engagé 2023 HUB1,UAT1ENG_2023,SAP,01.23.2|EN2023
1146,uat1enp_2023,UAT1ENP_2023,Engagé>2023 HUB1,64901,false,Engagé>2023 HUB1,UAT1ENP_2023,SAP,01.23.3|EN2023_POST
1147,uat2actual_2023,UAT2Actual_2023,Réel 2023 HUB2,64901,false,Réel 2023 HUB2,UAT2Actual_2023,SAP,02.23.1|Actual2023
1148,uat2eng_2023,UAT2ENG_2023,Engagé 2023 HUB2,64901,false,Engagé 2023 HUB2,UAT2ENG_2023,SAP,02.23.2|EN2023
1151,uat2enp_2023,UAT2ENP_2023,Engagé>2023 HUB2,64901,false,Engagé>2023 HUB2,UAT2ENP_2023,SAP,02.23.3|EN2023_POST
3,bi2020_h01_v02,BI2020_H01_V02,BI2020 H01 V02,64901,false,BI2020 H01 V02,BI2020_H01_V02,PXX,BI2020_H01_V02|2020FY
4,bi2020_h01_v01,BI2020_H01_V01,BI2020 H01 V01,64901,false,BI2020 H01 V01,BI2020_H01_V01,PXX,BI2020_H01_V01|2020FY
